host_experience_years,description_length,num_amenities,bathrooms,bedrooms,beds,neighbourhood_group_cleansed,room_type,price
8.136986301369863,485,24,1.0,0.0,1.0,Manhattan,Entire home/apt,137.00000000000006
3.1561643835616437,509,26,1.0,0.0,1.0,Brooklyn,Entire home/apt,155.0
10.92876712328767,354,45,1.0,2.0,2.0,Queens,Entire home/apt,154.00000000000003
11.852054794520548,336,11,1.0,1.0,1.0,Brooklyn,Private room,72.99999999999997
9.789041095890411,485,38,1.0,3.0,4.0,Brooklyn,Entire home/apt,190.0
2.7534246575342465,277,32,1.0,0.0,1.0,Brooklyn,Private room,110.99999999999996
0.4136986301369863,358,12,1.0,1.0,1.0,Queens,Private room,69.00000000000003
10.572602739726028,524,20,1.0,1.0,2.0,Manhattan,Entire home/apt,162.0
10.553424657534247,455,26,1.0,1.0,1.0,Manhattan,Entire home/apt,200.0
14.610958904109589,519,60,1.0,2.0,2.0,Queens,Private room,153.00000000000006
6.978082191780822,422,32,1.0,1.0,1.0,Brooklyn,Private room,99.00000000000004
2.3424657534246576,487,28,1.0,1.0,3.0,Manhattan,Entire home/apt,361.9999999999999
3.9397260273972603,404,49,1.5,3.0,3.0,Queens,Private room,248.9999999999999
9.473972602739726,381,14,1.0,1.0,1.0,Manhattan,Entire home/apt,109.99999999999997
5.586301369863014,410,31,1.0,1.0,2.0,Queens,Entire home/apt,135.00000000000006
5.931506849315069,495,17,1.0,1.0,1.0,Brooklyn,Private room,45.0
8.610958904109589,482,53,1.0,2.0,3.0,Brooklyn,Entire home/apt,150.0
9.841095890410958,499,12,1.0,1.0,1.0,Queens,Private room,55.00000000000002
11.419178082191781,535,47,1.0,1.0,3.0,Manhattan,Entire home/apt,127.99999999999997
9.38082191780822,59,12,1.0,0.0,1.0,Manhattan,Entire home/apt,100.00000000000003
9.509589041095891,450,51,1.0,1.0,1.0,Brooklyn,Private room,48.99999999999999
1.4082191780821918,269,23,1.0,1.0,1.0,Manhattan,Private room,198.99999999999994
3.3835616438356166,501,42,2.0,3.0,4.0,Staten Island,Entire home/apt,278.9999999999999
9.38082191780822,459,16,2.0,3.0,3.0,Manhattan,Entire home/apt,183.00000000000006
1.6931506849315068,491,12,1.0,0.0,1.0,Manhattan,Entire home/apt,141.99999999999994
13.95890410958904,256,4,1.0,2.0,1.0,Queens,Private room,99.00000000000004
5.0,36,15,1.0,1.0,1.0,Bronx,Entire home/apt,170.00000000000006
12.967123287671233,224,10,1.0,0.0,3.0,Manhattan,Entire home/apt,151.99999999999997
1.6821917808219178,317,64,1.0,1.0,1.0,Manhattan,Private room,102.0
9.38082191780822,369,22,1.0,0.0,1.0,Manhattan,Private room,157.0
12.668493150684931,479,31,1.0,2.0,1.0,Bronx,Entire home/apt,92.00000000000003
1.9013698630136986,507,34,1.0,1.0,1.0,Brooklyn,Private room,118.99999999999997
2.9808219178082194,375,52,1.0,2.0,2.0,Brooklyn,Entire home/apt,153.00000000000006
3.421917808219178,163,10,1.5,1.0,1.0,Bronx,Private room,48.99999999999999
6.019178082191781,467,32,1.0,3.0,3.0,Manhattan,Entire home/apt,238.00000000000009
14.36986301369863,424,46,1.0,0.0,1.0,Manhattan,Entire home/apt,348.9999999999999
11.093150684931507,144,8,1.0,1.0,1.0,Brooklyn,Private room,102.0
11.005479452054795,243,29,1.0,1.0,1.0,Queens,Private room,60.00000000000001
12.142465753424657,118,37,3.0,2.0,2.0,Brooklyn,Entire home/apt,342.00000000000017
6.4301369863013695,529,54,1.0,1.0,1.0,Brooklyn,Entire home/apt,292.0000000000001
3.180821917808219,510,38,1.0,1.0,1.0,Manhattan,Entire home/apt,954.0000000000001
2.873972602739726,442,8,1.0,1.0,1.0,Bronx,Private room,43.99999999999999
0.9616438356164384,363,23,1.0,0.0,1.0,Manhattan,Entire home/apt,94.0
4.101369863013699,49,8,1.0,1.0,1.0,Manhattan,Private room,249.9999999999999
11.227397260273973,82,44,1.0,1.0,3.0,Brooklyn,Entire home/apt,82.99999999999997
9.471232876712328,333,36,1.0,2.0,3.0,Brooklyn,Private room,227.00000000000006
2.7013698630136984,183,30,1.0,1.0,2.0,Manhattan,Private room,522.0000000000001
10.465753424657533,124,36,1.0,1.0,1.0,Manhattan,Entire home/apt,99.00000000000004
0.8684931506849315,411,9,1.0,1.0,1.0,Manhattan,Entire home/apt,359.9999999999999
4.550684931506849,447,12,2.0,1.0,1.0,Brooklyn,Private room,35.0
4.876712328767123,396,50,1.0,1.0,1.0,Brooklyn,Private room,89.99999999999997
6.347945205479452,537,53,1.0,2.0,2.0,Brooklyn,Entire home/apt,200.0
10.43013698630137,244,12,1.5,1.0,1.0,Brooklyn,Private room,84.99999999999997
5.852054794520548,528,39,1.0,1.0,1.0,Brooklyn,Private room,99.00000000000004
2.9424657534246577,127,17,1.0,1.0,1.0,Manhattan,Private room,143.0
9.106849315068493,393,73,1.0,1.0,1.0,Queens,Private room,100.00000000000003
8.378082191780821,334,33,2.0,1.0,1.0,Manhattan,Entire home/apt,453.00000000000017
9.67123287671233,315,27,1.0,1.0,2.0,Brooklyn,Entire home/apt,200.0
5.7753424657534245,432,37,1.0,1.0,2.0,Manhattan,Entire home/apt,151.0
9.208219178082192,510,29,1.0,1.0,2.0,Manhattan,Entire home/apt,208.99999999999994
5.928767123287671,77,18,1.0,1.0,1.0,Brooklyn,Private room,62.99999999999998
4.380821917808219,481,8,1.0,1.0,1.0,Manhattan,Entire home/apt,204.00000000000006
2.7013698630136984,331,36,4.0,3.0,3.0,Queens,Private room,229.99999999999994
2.282191780821918,488,24,2.0,2.0,4.0,Manhattan,Hotel room,346.0
12.150684931506849,243,9,1.0,1.0,1.0,Manhattan,Private room,80.00000000000003
7.780821917808219,273,49,1.0,1.0,2.0,Manhattan,Entire home/apt,260.00000000000006
1.167123287671233,224,21,1.0,1.0,2.0,Manhattan,Private room,182.00000000000006
8.378082191780821,312,34,1.0,1.0,1.0,Manhattan,Entire home/apt,375.0
5.3342465753424655,489,36,1.0,1.0,1.0,Brooklyn,Entire home/apt,109.99999999999997
2.282191780821918,435,21,1.0,1.0,1.0,Manhattan,Hotel room,294.9999999999999
10.465753424657533,428,28,1.0,2.0,3.0,Manhattan,Entire home/apt,103.99999999999997
4.427397260273972,434,8,0.0,1.0,0.0,Queens,Private room,36.99999999999999
11.610958904109589,458,23,2.0,2.0,2.0,Brooklyn,Entire home/apt,311.9999999999999
0.6164383561643836,60,4,3.0,1.0,1.0,Manhattan,Private room,97.99999999999999
2.1945205479452055,416,24,3.0,3.0,6.0,Manhattan,Hotel room,548.9999999999998
1.6931506849315068,122,13,0.0,3.0,1.0,Manhattan,Private room,72.99999999999997
9.567123287671233,192,54,1.0,0.0,1.0,Manhattan,Entire home/apt,417.0
6.63013698630137,507,22,1.0,1.0,1.0,Manhattan,Private room,222.00000000000003
8.884931506849314,537,31,1.0,1.0,2.0,Brooklyn,Entire home/apt,117.00000000000004
9.819178082191781,316,53,2.0,3.0,3.0,Brooklyn,Private room,297.9999999999999
11.158904109589042,25,46,1.0,1.0,1.0,Bronx,Private room,81.00000000000001
1.6575342465753424,69,5,1.0,1.0,1.0,Brooklyn,Private room,45.0
12.860273972602739,495,48,1.0,1.0,1.0,Brooklyn,Entire home/apt,174.99999999999994
12.728767123287671,511,15,2.0,5.0,1.0,Brooklyn,Private room,46.999999999999986
8.323287671232876,463,19,1.0,1.0,1.0,Queens,Private room,65.99999999999997
8.386301369863014,482,38,1.0,3.0,4.0,Brooklyn,Entire home/apt,235.0000000000001
13.084931506849315,516,37,1.0,0.0,0.0,Brooklyn,Entire home/apt,148.99999999999997
3.180821917808219,495,44,1.0,1.0,1.0,Manhattan,Entire home/apt,494.0
9.347945205479451,93,6,1.0,2.0,1.0,Brooklyn,Private room,107.99999999999997
10.391780821917807,389,54,1.0,1.0,1.0,Queens,Entire home/apt,114.99999999999999
11.131506849315068,425,34,1.0,1.0,1.0,Brooklyn,Private room,78.0
5.791780821917809,515,26,1.0,1.0,1.0,Manhattan,Entire home/apt,146.99999999999994
8.378082191780821,260,32,1.0,1.0,1.0,Manhattan,Entire home/apt,322.9999999999999
6.63013698630137,301,4,1.0,1.0,2.0,Manhattan,Private room,246.00000000000006
10.704109589041096,452,27,1.0,2.0,2.0,Brooklyn,Private room,224.0
10.219178082191782,801,31,1.0,1.0,1.0,Queens,Private room,64.99999999999997
8.378082191780821,316,31,1.0,1.0,1.0,Manhattan,Entire home/apt,390.9999999999999
2.3232876712328765,307,6,1.0,2.0,2.0,Queens,Entire home/apt,97.00000000000003
8.378082191780821,306,32,1.0,1.0,1.0,Manhattan,Entire home/apt,330.9999999999999
2.4657534246575343,487,23,1.0,1.0,2.0,Queens,Entire home/apt,104.99999999999997
15.273972602739725,487,32,2.0,1.0,2.0,Brooklyn,Private room,94.0
10.172602739726027,459,4,1.0,0.0,1.0,Manhattan,Entire home/apt,270.00000000000006
4.487671232876712,405,54,1.0,3.0,5.0,Queens,Entire home/apt,136.00000000000003
11.068493150684931,509,45,1.5,2.0,2.0,Brooklyn,Entire home/apt,309.99999999999994
10.635616438356164,388,16,1.0,1.0,1.0,Manhattan,Private room,100.00000000000003
7.391780821917808,515,33,1.0,1.0,1.0,Manhattan,Entire home/apt,165.00000000000006
7.673972602739726,456,52,1.0,2.0,2.0,Brooklyn,Entire home/apt,158.99999999999994
12.821917808219178,453,38,1.0,1.0,1.0,Manhattan,Entire home/apt,260.99999999999994
6.890410958904109,150,44,1.0,1.0,1.0,Brooklyn,Entire home/apt,215.00000000000006
3.041095890410959,416,47,1.0,1.0,2.0,Bronx,Private room,92.00000000000003
11.452054794520548,341,24,3.5,1.0,1.0,Queens,Private room,48.99999999999999
7.8931506849315065,61,8,1.0,1.0,1.0,Queens,Private room,39.0
11.263013698630138,218,36,3.5,3.0,3.0,Brooklyn,Entire home/apt,1076.0
7.13972602739726,384,54,1.0,1.0,1.0,Queens,Private room,105.99999999999996
1.6904109589041096,104,12,1.0,1.0,1.0,Bronx,Private room,96.0
